SalePrice,LotArea,OverallQual,OverallCond,YearBuilt,1stFlrSF,2ndFlrSF,BedroomAbvGr,MSZoning,LotShape,Neighborhood,CentralAir,SaleCondition,MoSold,YrSold
208500,8450,7,5,2003,856,854,3,RL,Reg,CollgCr,Y,Normal,2,2008
181500,9600,6,8,1976,1262,0,3,RL,Reg,Veenker,Y,Normal,5,2007
223500,11250,7,5,2001,920,866,3,RL,IR1,CollgCr,Y,Normal,9,2008
140000,9550,7,5,1915,961,756,3,RL,IR1,Crawfor,Y,Abnorml,2,2006
250000,14260,8,5,2000,1145,1053,4,RL,IR1,NoRidge,Y,Normal,12,2008
143000,14115,5,5,1993,796,566,1,RL,IR1,Mitchel,Y,Normal,10,2009
307000,10084,8,5,2004,1694,0,3,RL,Reg,Somerst,Y,Normal,8,2007
200000,10382,7,6,1973,1107,983,3,RL,IR1,NWAmes,Y,Normal,11,2009
129900,6120,7,5,1931,1022,752,2,RM,Reg,OldTown,Y,Abnorml,4,2008
118000,7420,5,6,1939,1077,0,2,RL,Reg,BrkSide,Y,Normal,1,2008
129500,11200,5,5,1965,1040,0,3,RL,Reg,Sawyer,Y,Normal,2,2008
345000,11924,9,5,2005,1182,1142,4,RL,IR1,NridgHt,Y,Partial,7,2006
144000,12968,5,6,1962,912,0,2,RL,IR2,Sawyer,Y,Normal,9,2008
279500,10652,7,5,2006,1494,0,3,RL,IR1,CollgCr,Y,Partial,8,2007
157000,10920,6,5,1960,1253,0,2,RL,IR1,NAmes,Y,Normal,5,2008
132000,6120,7,8,1929,854,0,2,RM,Reg,BrkSide,Y,Normal,7,2007
149000,11241,6,7,1970,1004,0,2,RL,IR1,NAmes,Y,Normal,3,2010
90000,10791,4,5,1967,1296,0,2,RL,Reg,Sawyer,Y,Normal,10,2006
159000,13695,5,5,2004,1114,0,3,RL,Reg,SawyerW,Y,Normal,6,2008
139000,7560,5,6,1958,1339,0,3,RL,Reg,NAmes,Y,Abnorml,5,2009
325300,14215,8,5,2005,1158,1218,4,RL,IR1,NridgHt,Y,Partial,11,2006
139400,7449,7,7,1930,1108,0,3,RM,Reg,IDOTRR,Y,Normal,6,2007
230000,9742,8,5,2002,1795,0,3,RL,Reg,CollgCr,Y,Normal,9,2008
129900,4224,5,7,1976,1060,0,3,RM,Reg,MeadowV,Y,Normal,6,2007
154000,8246,5,8,1968,1060,0,3,RL,IR1,Sawyer,Y,Normal,5,2010
256300,14230,8,5,2007,1600,0,3,RL,Reg,NridgHt,Y,Normal,7,2009
134800,7200,5,7,1951,900,0,3,RL,Reg,NAmes,Y,Normal,5,2010
306000,11478,8,5,2007,1704,0,3,RL,Reg,NridgHt,Y,Normal,5,2010
207500,16321,5,6,1957,1600,0,2,RL,IR1,NAmes,Y,Normal,12,2006
68500,6324,4,6,1927,520,0,1,RM,IR1,BrkSide,N,Normal,5,2008
40000,8500,4,4,1920,649,668,3,C (all),Reg,IDOTRR,N,Normal,7,2008
149350,8544,5,6,1966,1228,0,3,RL,IR1,Sawyer,Y,Normal,6,2008
179900,11049,8,5,2007,1234,0,3,RL,Reg,CollgCr,Y,Normal,1,2008
165500,10552,5,5,1959,1700,0,4,RL,IR1,NAmes,Y,Normal,4,2010
277500,7313,9,5,2005,1561,0,2,RL,Reg,NridgHt,Y,Normal,8,2007
309000,13418,8,5,2004,1132,1320,4,RL,Reg,NridgHt,Y,Normal,9,2006
145000,10859,5,5,1994,1097,0,3,RL,Reg,CollgCr,Y,Normal,6,2009
153000,8532,5,6,1954,1297,0,3,RL,Reg,NAmes,Y,Normal,10,2009
109000,7922,5,7,1953,1057,0,3,RL,Reg,NAmes,Y,Abnorml,1,2010
82000,6040,4,5,1955,1152,0,2,RL,Reg,Edwards,N,AdjLand,6,2008
160000,8658,6,5,1965,1324,0,3,RL,Reg,NAmes,Y,Abnorml,12,2006
170000,16905,5,6,1959,1328,0,2,RL,Reg,Timber,Y,Normal,7,2007
144000,9180,5,7,1983,884,0,2,RL,IR1,SawyerW,Y,Normal,12,2007
130250,9200,5,6,1975,938,0,3,RL,IR1,CollgCr,Y,Normal,7,2008
141000,7945,5,6,1959,1150,0,3,RL,Reg,NAmes,Y,Normal,5,2006
319900,7658,9,5,2005,1752,0,2,RL,Reg,NridgHt,Y,Normal,2,2010
239686,12822,7,5,2003,1518,631,1,RL,IR1,Mitchel,Y,Abnorml,8,2009
249700,11096,8,5,2006,1656,0,3,FV,Reg,Somerst,Y,Normal,7,2007
113000,4456,4,5,1920,736,716,2,RM,Reg,OldTown,Y,Partial,6,2009
127000,7742,5,7,1966,955,0,3,RL,Reg,Sawyer,Y,Normal,1,2007
177000,13869,6,6,1997,794,676,3,RL,IR2,Gilbert,Y,Normal,7,2007
114500,6240,6,6,1934,816,0,3,RM,Reg,BrkSide,Y,Normal,9,2006
110000,8472,5,5,1963,816,0,2,RM,IR2,IDOTRR,N,Normal,5,2010
385000,50271,9,5,1981,1842,0,0,RL,IR1,Veenker,Y,Normal,11,2006
130000,7134,5,5,1955,1360,0,3,RL,Reg,NAmes,Y,Normal,2,2007
180500,10175,6,5,1964,1425,0,3,RL,IR1,NAmes,Y,Normal,7,2008
172500,2645,8,5,1999,983,756,3,FV,Reg,Somerst,Y,Abnorml,8,2009
196500,11645,7,5,2004,860,860,3,RL,IR1,CollgCr,Y,Normal,8,2006
438780,13682,10,5,2006,1426,1519,3,RL,IR2,StoneBr,Y,Partial,10,2006
124900,7200,5,7,1972,780,0,2,RL,Reg,CollgCr,Y,Normal,1,2008
158000,13072,6,5,2004,1158,0,3,RL,Reg,SawyerW,Y,Partial,5,2006
101000,7200,5,7,1920,581,530,3,RM,Reg,IDOTRR,N,Normal,3,2007
202500,6442,8,5,2006,1370,0,2,RL,IR1,NridgHt,Y,Normal,10,2007
140000,10300,7,6,1921,902,808,3,RM,IR1,OldTown,Y,Normal,4,2010
219500,9375,7,5,1997,1057,977,3,RL,Reg,CollgCr,Y,Normal,2,2009
317000,9591,8,5,2004,1143,1330,4,RL,Reg,NridgHt,Y,Normal,10,2007
180000,19900,7,5,1970,2207,0,3,RL,Reg,NAmes,Y,Normal,7,2010
226000,10665,7,5,2003,1479,0,3,RL,IR1,CollgCr,Y,Normal,6,2007
80000,4608,4,6,1945,747,0,2,RM,Reg,OldTown,Y,Normal,6,2010
225000,15593,7,4,1953,1304,983,3,RL,Reg,ClearCr,Y,Normal,7,2006
244000,13651,7,6,1973,2223,0,3,RL,IR1,NAmes,Y,Normal,2,2007
129500,7599,4,6,1982,845,0,2,RL,Reg,Mitchel,Y,Normal,6,2007
185000,10141,7,5,1998,885,833,3,RL,IR1,Gilbert,Y,Normal,12,2009
144900,10200,5,7,1954,1086,0,3,RL,Reg,NAmes,Y,Normal,5,2010
107400,5790,3,6,1915,840,765,3,RM,Reg,OldTown,N,Normal,5,2010
91000,1596,4,5,1973,526,462,2,RM,Reg,MeadowV,Y,Normal,11,2009
135750,8475,4,7,1956,952,0,2,RL,IR1,NAmes,Y,Normal,4,2008
127000,8635,5,5,1948,1072,213,2,RM,Reg,BrkSide,Y,Normal,1,2008
136500,10778,4,5,1968,1768,0,4,RL,Reg,Sawyer,N,Normal,4,2010
110000,10440,5,6,1910,682,548,2,RM,Reg,OldTown,Y,Normal,5,2009
193500,13000,6,6,1968,1182,960,4,RL,Reg,NAmes,Y,Normal,6,2009
153500,4500,6,5,1998,1337,0,2,RM,Reg,Mitchel,Y,Normal,3,2006
245000,10206,8,5,2007,1563,0,3,RL,Reg,Somerst,Y,Normal,10,2008
126500,8892,5,5,1960,1065,0,3,RL,IR1,NAmes,Y,Normal,7,2007
168500,8530,7,5,1995,804,670,3,RL,IR1,Gilbert,Y,Normal,5,2009
260000,16059,8,5,1991,1301,1116,4,RL,Reg,NoRidge,Y,Normal,4,2006
174000,11911,6,5,2005,684,876,3,RL,IR2,Gilbert,Y,Normal,3,2009
164500,3951,6,5,2009,612,612,2,FV,Reg,Somerst,Y,Partial,6,2009
85000,8470,3,2,1915,1013,0,2,C (all),IR1,IDOTRR,N,Abnorml,10,2009
123600,8070,4,5,1994,990,0,3,RL,Reg,CollgCr,Y,Normal,8,2007
109900,7200,4,5,1950,1040,0,2,RL,Reg,NAmes,Y,Normal,7,2006
98600,8500,5,3,1961,1235,0,2,RL,Reg,NAmes,Y,Abnorml,12,2006
163500,13360,5,7,1921,964,0,2,RL,IR1,Crawfor,Y,Normal,8,2009
133900,7200,6,6,1910,1260,1031,4,C (all),Reg,OldTown,N,Normal,11,2007
204750,9337,6,5,1997,905,881,3,RL,IR1,CollgCr,Y,Normal,5,2007
185000,9765,6,8,1993,680,790,3,RL,IR2,Gilbert,Y,Normal,4,2009
214000,10264,7,5,1999,1588,0,3,RL,IR1,CollgCr,Y,Normal,8,2006
94750,10921,4,5,1965,960,0,3,RL,Reg,Edwards,Y,Normal,5,2007
83000,10625,5,5,1920,835,0,2,RL,Reg,Edwards,N,Abnorml,5,2010
128950,9320,4,5,1959,1225,0,3,RL,IR1,NAmes,Y,Normal,1,2010
205000,10603,6,7,1977,1610,0,3,RL,IR1,NWAmes,Y,Normal,2,2010
178000,9206,6,5,1985,977,755,3,RL,Reg,SawyerW,Y,Normal,6,2010
118964,7018,5,5,1979,1535,0,4,RL,Reg,SawyerW,Y,Alloca,6,2009
198900,10402,7,5,2009,1226,0,3,RL,IR1,CollgCr,Y,Normal,5,2010
169500,7758,7,4,1931,1226,592,4,RM,Reg,IDOTRR,Y,Normal,6,2007
250000,9375,8,5,2003,1053,939,3,FV,Reg,Somerst,Y,Normal,8,2008
100000,10800,4,7,1885,1047,0,2,RM,Reg,OldTown,Y,Normal,8,2007
115000,6000,5,5,1948,789,0,2,RM,Reg,OldTown,Y,Partial,4,2008
115000,8500,5,7,1919,997,520,3,RM,Reg,IDOTRR,N,Normal,8,2007
190000,11751,6,6,1977,1844,0,3,RL,IR1,NWAmes,Y,Normal,1,2010
136900,9525,6,4,1954,1216,639,4,RL,Reg,Edwards,Y,Normal,10,2006
180000,7750,7,5,2000,774,656,3,RL,IR1,Gilbert,Y,Normal,4,2010
383970,9965,7,5,2007,1282,1414,4,RL,Reg,CollgCr,Y,Partial,10,2007
217000,21000,6,5,1953,2259,0,3,RL,Reg,Crawfor,Y,Abnorml,10,2007
259500,7259,6,8,1945,1436,884,3,RL,IR1,Crawfor,Y,Normal,7,2007
176000,3230,6,5,1999,729,729,2,FV,Reg,Somerst,Y,Normal,6,2007
139000,11616,5,5,1962,1092,0,3,RL,Reg,Sawyer,Y,Normal,9,2009
155000,8536,5,5,2006,1125,0,2,RL,Reg,Edwards,Y,Partial,4,2007
320000,12376,7,5,1990,1699,1523,5,RL,Reg,SawyerW,Y,Normal,5,2010
163990,8461,6,5,2005,728,728,3,RL,Reg,CollgCr,Y,Partial,7,2006
180000,21453,6,5,1969,988,0,1,RL,IR1,ClearCr,Y,Normal,10,2006
100000,6060,4,5,1939,772,351,3,RM,Reg,IDOTRR,Y,Normal,6,2007
136000,9464,6,7,1958,1080,0,3,RL,Reg,NAmes,Y,Normal,6,2008
153900,7892,6,5,1993,1199,0,2,RL,Reg,SawyerW,Y,Normal,3,2008
181000,17043,6,5,1979,1586,0,3,RL,IR1,NWAmes,Y,Normal,1,2009
84500,6780,6,8,1935,520,0,2,RM,Reg,IDOTRR,N,Normal,6,2006
128000,4928,6,5,1976,958,0,2,RL,IR1,NPkVill,Y,Normal,2,2007
87000,4388,5,7,1930,840,0,3,RM,IR1,OldTown,Y,Normal,6,2007
155000,7590,6,5,1966,660,688,3,RL,Reg,NAmes,Y,Normal,7,2006
150000,8973,5,7,1958,1053,0,3,RL,Reg,NAmes,Y,Abnorml,7,2006
226000,14200,7,6,1966,1216,941,4,RL,Reg,NAmes,Y,Normal,5,2006
244000,12224,6,5,2000,1022,1032,3,RL,IR1,Gilbert,Y,Normal,7,2009
150750,7388,5,6,1959,1327,0,3,RL,Reg,NAmes,Y,Normal,7,2007
220000,6853,8,5,2001,1296,0,2,RL,IR1,Timber,Y,Normal,6,2009
180000,10335,5,6,1968,1721,0,3,RL,IR1,Sawyer,Y,Normal,7,2006
174000,10400,7,6,1970,1682,0,3,RL,Reg,NWAmes,Y,Normal,5,2008
143000,10355,5,5,1967,1214,0,3,RL,IR1,NAmes,Y,Normal,7,2007
171000,11070,7,5,1988,1959,0,5,RL,Reg,Mitchel,Y,Family,7,2006
230000,9066,8,5,1999,1004,848,3,RL,IR1,CollgCr,Y,Normal,12,2008
231500,15426,6,5,1997,928,836,3,RL,IR1,CollgCr,Y,Normal,8,2009
115000,10500,4,5,1971,864,0,3,RL,Reg,NAmes,Y,Normal,4,2010
260000,11645,7,5,2005,1734,0,3,RL,Reg,CollgCr,Y,Normal,1,2006
166000,8520,5,4,1952,910,475,4,RL,Reg,NAmes,Y,Normal,6,2010
204000,10335,7,5,1999,1501,0,3,RL,IR1,CollgCr,Y,Normal,6,2009
125000,9100,5,5,1963,1728,0,6,RM,Reg,Sawyer,Y,Abnorml,11,2006
130000,2522,6,5,2004,970,739,3,RM,Reg,Edwards,Y,Normal,4,2006
